Social_media 	No creo que tú hayas venido a parar al infierno. Tú no has venido, ¿verdad? Tú no has creído, ¿verdad?	Akuxi yuri neukati'erie kename pehe't+a NEKEMA.....Kepai pekatikuyet+ pemuta'uku'eiri..Tsepakutari kauka m+ya'tey+némete..
Social_media 	Piensas bien que hoy has nacido de tu vientre;	'Aix+ pereu'erieka hik+ 'atukari pemutinuiwax+tsíe.
Social_media 	Amado, estás pensando en un niño.	Nemetsinaki'erie, pa+ pera'eriwani 'uká nunutsi.
Social_media 	¡KOMA y paz!	¡ KE'AKU NE'IWAMA !
Social_media 	En cuanto a nosotros, nuestra vida vale mucho más que la comida, y nuestros hermanos, nuestros parientes y amigos más, hasta el día de hoy, saben que nuestro corazón está bien.	Hik+ 'aix+ 'iyari tepaka 'iyuni... ta iwama, ta marema, me mumawe watukari matine. Ne ne'iyari 'aix+ p+'ane hik+ tukarik+ te maye'eeri.
Social_media 	Todos mis hermanos los han desamparado. ¿No han hecho acaso algo bueno? También han hecho lo bueno, ¿y no se acuerdan de nosotros?	X+ka hik+ yunait+ ne 'iwama yu marema xete wareukumawiriex+ani 'aix+ 'ane. Huta te kwa wareutax+rieka, aix+ 'ane x+ka tukarik+ tewaraye'eriwani.
Social_media 	sabemos que están ahí sentados tomando cuidado...	Tete'akumate kename mana pait+ me 'aka 'uut+ me ta tsi '+wiya...
Social_media 	Estando nosotros aquí reunidos en busca de refugio, si al cabo de algún día él les da...	Hik+ ye te muy+ 'uwa mautiyune tewaraye'eriwat+ mana te petiwekeni x+ka te tukari ta tiu pi t+waani...
Social_media 	Con estos días subió de nuevo	Hik+ tukari matit+a tawarita
Social_media 	Entonces el Espíritu Santo descansó sobre nosotros.	'Aix+ 'iyari te pau 'uuxipieka.
Social_media 	gracias.	Pampariyutsi.
